CustomerID,Gender,Age,Annual Income (Rs),Spending Score (1-100)
1,Male,57,135,61
2,Male,33,110,43
3,Female,44,82,22
4,Male,31,16,45
5,Female,44,77,37
6,Male,42,120,13
7,Male,42,186,80
8,Female,36,176,73
9,Female,59,145,36
10,Female,51,196,61
11,Male,22,18,68
12,Female,42,141,15
13,Female,35,104,74
14,Female,54,29,49
15,Female,60,198,77
16,Male,44,132,51
17,Female,54,34,63
18,Female,42,163,60
19,Male,43,148,46
20,Female,34,109,34
21,Male,39,200,42
22,Male,35,70,50
23,Female,49,88,33
24,Female,44,147,79
25,Female,46,67,34
26,Female,47,106,24
27,Female,51,157,26
28,Female,42,64,67
29,Female,21,178,12
30,Male,52,45,79
31,Male,24,180,19
32,Male,47,108,52
33,Female,54,137,75
34,Female,39,104,66
35,Male,60,164,39
36,Female,23,150,60
37,Male,31,115,42
38,Female,19,159,28
39,Male,21,114,63
40,Male,38,140,48
41,Female,30,195,63
42,Female,34,151,57
43,Female,56,59,62
44,Female,20,68,23
45,Male,46,20,19
46,Male,60,24,65
47,Female,51,142,77
48,Male,59,128,40
49,Female,53,137,50
50,Female,41,84,68
51,Female,60,175,23
52,Male,52,97,11
53,Male,24,41,31
54,Female,34,56,32
55,Female,31,124,67
56,Male,55,105,12
57,Female,51,81,79
58,Female,31,52,75
59,Female,30,66,16
60,Male,25,166,11
61,Female,29,117,61
62,Male,31,171,34
63,Male,59,68,48
64,Female,19,19,11
65,Male,22,192,12
66,Female,39,23,26
67,Female,25,179,66
68,Male,46,151,61
69,Female,44,88,43
70,Male,50,42,20
71,Male,48,96,32
72,Male,21,115,78
73,Female,35,90,61
74,Female,37,102,20
75,Female,23,109,64
76,Female,49,56,72
77,Male,50,146,70
78,Female,55,52,23
79,Male,35,98,49
80,Male,34,183,64
81,Male,40,72,77
82,Female,25,138,22
83,Male,20,190,39
84,Male,23,15,24
85,Male,39,176,44
86,Male,53,92,61
87,Male,28,107,24
88,Male,24,187,25
89,Male,56,153,48
90,Female,44,59,17
91,Female,35,155,56
92,Female,33,90,57
93,Male,58,27,32
94,Male,40,72,69
95,Female,32,162,78
96,Female,45,196,52
97,Female,58,117,69
98,Male,19,65,56
99,Female,46,15,17
100,Female,28,52,45
101,Female,36,179,59
102,Female,53,41,11
103,Female,38,44,72
104,Female,48,51,36
105,Male,31,70,57
106,Male,31,174,61
107,Female,32,200,78
108,Male,32,101,66
109,Male,54,86,21
110,Male,19,20,71
111,Male,44,198,60
112,Female,40,139,37
113,Male,36,97,67
114,Male,19,129,13
115,Female,25,178,17
116,Male,46,40,13
117,Male,50,91,66
118,Female,52,158,78
119,Female,37,105,52
120,Male,19,89,58
121,Female,57,99,37
122,Female,30,185,41
123,Female,37,181,28
124,Female,28,140,38
125,Male,36,80,71
126,Female,23,138,65
127,Female,23,27,59
128,Male,43,77,15
129,Male,30,76,20
130,Male,44,193,21
131,Female,58,162,70
132,Female,55,37,23
133,Female,54,102,26
134,Female,42,134,44
135,Male,58,174,80
136,Female,21,32,14
137,Male,36,79,47
138,Female,37,52,29
139,Female,56,53,22
140,Male,53,41,79
141,Female,31,91,22
142,Female,43,197,75
143,Female,54,133,21
144,Female,54,107,61
145,Male,32,41,47
146,Female,21,84,55
147,Female,52,61,21
148,Male,49,71,35
149,Male,28,39,18
150,Male,23,159,68
151,Male,24,191,62
152,Female,34,84,12
153,Female,59,140,44
154,Female,34,59,32
155,Female,41,57,48
156,Male,57,90,19
157,Female,33,56,46
158,Male,56,98,68
159,Female,55,186,43
160,Female,45,164,51
161,Male,19,91,54
162,Female,28,90,52
163,Female,43,186,78
164,Female,43,15,51
165,Female,44,15,33
166,Female,27,186,79
167,Female,33,124,45
168,Female,24,140,55
169,Male,22,195,14
170,Male,29,76,34
171,Male,24,175,24
172,Female,20,71,36
173,Male,28,40,15
174,Female,37,41,54
175,Male,59,109,14
176,Male,58,136,45
177,Male,27,119,16
178,Female,38,80,12
179,Female,60,76,59
180,Male,26,145,36
181,Male,30,156,35
182,Male,45,15,43
183,Female,19,174,60
184,Female,47,145,46
185,Male,48,87,77
186,Female,51,149,10
187,Male,31,73,18
188,Male,42,68,12
189,Female,23,38,15
190,Female,52,197,20
191,Female,48,195,71
192,Female,44,19,78
193,Female,38,40,20
194,Female,40,74,74
195,Female,35,22,25
196,Female,43,198,43
197,Female,48,67,37
198,Male,56,39,69
199,Female,57,198,79
200,Female,53,77,55
201,Female,54,171,79
202,Female,33,98,42
203,Male,44,173,49
204,Male,54,160,26
205,Female,30,153,48
206,Male,44,96,74
207,Male,25,64,66
208,Female,43,144,21
209,Male,43,35,52
210,Male,31,21,51
211,Female,26,119,17
212,Male,59,186,10
213,Male,59,177,32
214,Male,42,81,77
215,Female,20,42,21
216,Male,39,110,25
217,Female,43,49,11
218,Female,60,101,38
219,Female,37,103,57
220,Female,39,113,68
221,Female,47,27,28
222,Male,22,31,47
223,Female,23,198,51
224,Female,47,133,41
225,Male,44,99,63
226,Female,36,115,40
227,Female,56,117,38
228,Male,55,168,28
229,Male,30,128,66
230,Male,44,198,71
231,Male,53,96,33
232,Male,53,180,23
233,Female,49,126,54
234,Female,38,106,77
235,Male,60,166,10
236,Male,24,62,57
237,Female,24,57,73
238,Female,29,191,33
239,Female,28,46,31
240,Male,20,76,75
241,Female,39,58,64
242,Female,47,100,80
243,Male,35,133,13
244,Female,56,116,51
245,Female,50,17,71
246,Male,49,95,58
247,Male,33,174,19
248,Female,25,55,40
249,Female,56,72,68
250,Male,48,129,33
251,Male,52,86,45
252,Female,27,45,11
253,Male,44,160,61
254,Male,54,161,34
255,Female,54,156,37
256,Female,33,200,62
257,Male,41,185,54
258,Female,54,17,76
259,Male,21,174,56
260,Male,52,175,70
261,Female,46,188,67
262,Female,21,180,50
263,Female,39,55,35
264,Female,27,139,46
265,Male,60,124,39
266,Female,54,55,52
267,Male,59,166,66
268,Male,49,34,23
269,Female,25,18,22
270,Female,31,30,50
271,Male,44,141,67
272,Male,54,198,78
273,Female,36,52,55
274,Female,38,29,60
275,Female,43,135,58
276,Male,45,115,57
277,Female,24,106,37
278,Male,24,21,31
279,Male,21,116,27
280,Male,54,123,24
281,Female,30,108,72
282,Female,47,195,67
283,Male,43,112,28
284,Female,22,95,78
285,Male,44,60,68
286,Male,39,140,69
287,Female,23,159,38
288,Male,52,55,53
289,Male,38,101,79
290,Female,52,20,26
291,Male,39,65,49
292,Female,26,99,57
293,Male,52,100,36
294,Male,43,136,76
295,Female,60,170,24
296,Male,24,164,45
297,Male,35,158,33
298,Female,21,82,70
299,Male,47,83,26
300,Female,36,141,53
301,Male,37,42,24
302,Female,22,36,48
303,Female,48,96,44
304,Male,53,159,23
305,Male,52,16,33
306,Female,29,82,39
