CustomerID,Gender,Age,Annual Income (Rs),Spending Score (1-100)
1,Female,37,76,33
2,Male,34,68,50
3,Female,51,19,34
4,Female,33,58,47
5,Male,44,97,34
6,Male,27,55,64
7,Female,38,16,38
8,Male,37,24,54
9,Male,28,33,78
10,Male,23,43,28
11,Male,40,84,54
12,Male,35,85,37
13,Female,53,89,49
14,Female,37,72,36
15,Male,31,45,37
16,Male,44,17,49
17,Male,27,60,76
18,Male,53,69,71
19,Male,45,16,34
20,Male,36,36,30
21,Male,51,83,34
22,Female,55,85,31
23,Male,41,60,75
24,Female,48,35,11
25,Female,42,77,38
26,Female,52,28,31
27,Male,57,17,71
28,Male,23,43,19
29,Female,20,84,29
30,Male,38,23,45
31,Female,46,56,35
32,Female,27,70,69
33,Male,43,64,60
34,Female,51,60,11
35,Female,52,80,32
36,Female,50,38,42
37,Male,29,54,75
38,Male,30,95,54
39,Female,21,17,78
40,Female,52,55,18
41,Female,55,31,15
42,Female,56,64,53
43,Male,38,38,73
44,Female,58,30,59
45,Female,45,77,74
46,Male,45,47,19
47,Male,24,93,57
48,Female,24,55,64
49,Male,51,35,35
50,Male,28,43,28
51,Male,48,47,51
52,Male,56,19,71
53,Male,36,80,13
54,Male,48,82,33
55,Male,23,28,45
56,Male,28,68,29
57,Female,23,82,66
58,Female,37,77,26
59,Male,41,66,45
60,Female,34,75,52
61,Male,21,49,79
62,Female,35,27,28
63,Male,40,29,72
64,Female,55,58,51
65,Female,48,65,15
66,Male,41,33,11
67,Female,59,15,21
68,Female,48,45,77
69,Female,43,47,80
70,Female,29,41,80
71,Male,54,96,61
72,Male,30,76,75
73,Male,42,17,58
74,Female,19,49,67
75,Male,20,28,18
76,Female,40,87,29
77,Female,45,81,18
78,Female,22,57,33
79,Male,28,75,47
80,Male,41,45,33
81,Male,40,81,29
82,Male,49,80,75
83,Female,47,30,24
84,Female,60,87,34
85,Female,29,30,56
86,Female,37,87,68
87,Female,49,84,37
88,Male,35,55,15
89,Female,27,27,58
90,Male,54,83,29
91,Male,35,50,57
92,Female,59,50,78
93,Male,33,39,38
94,Male,56,29,41
95,Female,45,88,59
96,Female,19,73,56
97,Female,45,47,16
98,Female,58,41,35
99,Male,45,64,16
100,Female,45,73,43
101,Female,44,72,29
102,Male,48,85,73
103,Male,20,33,75
104,Male,56,50,22
105,Male,56,59,17
106,Male,57,97,59
107,Female,33,45,69
108,Female,52,75,55
109,Male,23,30,14
110,Male,52,42,49
111,Male,53,67,64
112,Male,59,27,21
113,Female,24,94,77
114,Female,42,59,46
115,Female,21,15,65
116,Female,22,46,72
117,Female,28,19,40
118,Male,33,38,72
119,Female,28,50,45
120,Female,58,50,14
121,Male,36,93,41
122,Male,40,24,11
123,Male,44,91,29
124,Female,34,26,15
125,Female,44,84,11
126,Male,34,47,14
127,Male,46,52,76
128,Female,59,90,43
129,Male,49,40,39
130,Female,52,89,68
131,Male,30,73,30
132,Male,23,69,38
133,Male,21,26,28
134,Female,42,28,59
135,Female,50,45,14
136,Male,37,18,48
137,Male,27,67,19
138,Female,44,48,28
139,Female,40,94,21
140,Female,60,68,72
141,Male,19,59,60
142,Female,26,43,57
143,Male,22,96,74
144,Female,55,83,26
145,Female,52,42,11
146,Female,43,63,39
147,Male,57,26,62
148,Female,46,52,29
149,Female,33,95,76
150,Male,41,65,56
151,Female,23,63,65
152,Male,48,19,47
153,Male,27,89,16
154,Male,47,96,68
155,Female,24,85,64
156,Male,33,95,35
157,Female,45,82,35
158,Female,19,76,39
159,Female,58,21,13
160,Female,49,52,79
161,Male,33,35,29
162,Male,44,64,28
163,Male,59,77,13
164,Female,30,84,62
165,Male,53,82,38
166,Male,31,87,11
167,Female,45,87,17
168,Male,54,40,78
169,Male,51,53,60
170,Female,30,24,27
171,Male,57,28,16
172,Female,43,33,52
173,Female,41,17,68
174,Female,49,62,77
175,Male,32,54,73
176,Female,52,18,46
177,Male,46,81,76
178,Male,22,31,45
179,Male,35,92,76
180,Female,40,66,42
181,Male,22,26,64
182,Female,56,24,47
183,Female,19,24,59
184,Male,44,95,50
185,Female,36,77,23
186,Male,57,33,61
187,Female,58,50,58
188,Male,41,86,14
189,Male,19,32,60
190,Male,55,47,76
191,Female,20,44,73
192,Female,20,53,18
193,Male,29,56,44
194,Female,21,29,45
195,Male,29,57,57
196,Female,43,37,55
197,Female,45,36,67
198,Male,52,50,55
199,Female,46,83,65
200,Male,40,26,25
201,Female,46,60,60
202,Male,20,39,19
203,Female,34,58,64
204,Male,37,82,60
205,Male,19,58,67
206,Female,24,33,69
207,Male,39,79,37
208,Male,55,48,50
209,Female,58,52,29
210,Female,28,76,46
211,Male,31,77,71
212,Female,31,18,40
213,Female,20,70,21
214,Female,35,22,28
215,Female,37,98,15
216,Male,44,97,43
217,Male,25,78,72
218,Female,25,53,75
219,Female,28,70,17
220,Female,37,28,44
221,Female,25,51,73
222,Female,30,50,76
223,Male,29,57,30
224,Male,19,83,76
225,Female,25,38,44
226,Female,26,83,80
227,Male,28,76,67
228,Female,43,69,38
229,Male,28,35,31
230,Male,59,67,55
231,Male,40,67,58
232,Female,48,70,64
233,Female,47,46,47
234,Male,49,46,78
235,Male,56,69,32
236,Male,24,85,14
237,Male,34,26,77
238,Female,59,21,34
239,Female,23,61,51
240,Female,25,79,24
241,Male,27,57,13
242,Female,56,35,44
243,Male,31,80,15
244,Male,31,64,19
245,Female,52,62,64
246,Male,23,89,42
247,Female,41,67,13
248,Male,31,68,35
249,Male,30,44,44
250,Female,34,96,11
251,Female,54,84,41
252,Female,56,18,47
253,Male,21,42,10
254,Male,50,80,11
255,Male,23,62,45
256,Female,57,60,29
257,Female,35,67,65
258,Male,26,59,30
259,Female,58,79,72
260,Female,41,96,18
261,Female,50,34,54
262,Female,34,29,74
263,Male,28,85,53
264,Female,58,67,73
265,Male,28,27,40
266,Female,19,96,30
267,Male,37,66,47
268,Male,50,99,29
269,Female,50,43,40
270,Female,32,61,66
271,Male,26,45,22
272,Female,53,91,77
273,Male,25,35,77
274,Female,31,53,40
275,Female,47,37,16
276,Male,46,72,48
277,Female,21,56,71
278,Male,34,43,28
279,Male,45,93,36
280,Female,29,48,78
281,Female,26,15,63
282,Male,57,92,37
283,Female,48,18,37
284,Female,37,41,32
285,Male,46,47,61
286,Male,40,74,38
287,Male,29,31,38
288,Male,44,57,75
289,Female,40,56,57
290,Female,25,29,29
291,Female,36,34,35
292,Male,21,26,69
293,Male,29,19,54
294,Female,28,58,66
295,Male,36,79,17
296,Female,57,75,34
297,Female,37,85,72
298,Male,31,42,15
299,Female,28,61,64
300,Female,20,23,10
301,Male,48,80,12
302,Female,30,92,61
303,Male,47,51,30
304,Female,23,92,49
305,Male,23,59,65
306,Female,24,18,40
307,Female,52,55,34
308,Female,58,95,71
309,Male,59,67,25
310,Female,50,23,57
311,Male,44,57,43
312,Male,24,83,67
313,Female,43,96,18
314,Female,37,46,55
315,Male,30,28,33
316,Female,28,61,61
317,Male,30,60,48
318,Female,43,34,73
319,Female,49,23,44
320,Male,56,20,79
321,Female,32,90,79
322,Female,53,70,31
323,Female,27,43,74
324,Female,28,97,26
325,Male,22,76,66
326,Female,20,24,44
327,Female,49,24,61
328,Female,43,22,14
329,Male,54,52,44
330,Female,57,75,72
331,Female,23,86,78
332,Male,46,39,65
333,Female,49,39,51
334,Male,21,67,63
335,Female,53,99,63
336,Male,29,76,29
337,Male,32,71,44
338,Male,29,39,73
339,Male,30,67,35
340,Male,43,77,26
341,Female,42,49,80
342,Female,58,80,28
343,Female,26,88,77
344,Male,58,22,65
345,Female,39,50,49
346,Female,50,51,53
347,Female,45,94,11
348,Male,51,45,74
349,Male,46,99,73
350,Female,24,90,51
351,Female,23,66,35
352,Male,19,59,50
353,Female,26,77,26
354,Female,57,43,47
355,Male,40,49,68
356,Male,24,76,12
357,Male,30,26,49
358,Female,30,71,11
359,Female,60,36,25
360,Male,45,52,65
361,Female,22,65,74
362,Female,54,59,50
363,Male,46,62,65
364,Male,60,91,35
365,Female,27,97,67
366,Female,56,47,39
367,Male,39,95,49
368,Female,54,40,44
369,Female,41,73,23
370,Female,57,69,57
371,Female,42,51,52
372,Male,51,59,61
373,Female,22,18,80
374,Female,54,26,59
375,Female,39,95,47
376,Female,50,76,12
377,Male,36,71,24
378,Female,21,91,28
379,Female,20,52,25
380,Male,53,66,51
381,Male,54,47,34
382,Female,43,53,11
383,Female,24,31,21
384,Male,42,94,23
385,Female,41,44,55
386,Male,24,97,79
387,Female,54,43,23
388,Male,33,62,51
389,Female,60,49,74
390,Male,40,73,42
391,Female,29,50,65
392,Female,53,44,50
393,Female,24,31,15
394,Female,27,92,22
395,Male,52,70,39
396,Female,39,67,19
397,Female,38,18,60
398,Female,49,58,17
399,Female,25,93,69
400,Male,25,45,24
